t,err,px,py,pz,qw,qx,qy,qz,u1,u2,u3,u4,u5,u6
3.100000000,0.068283537,0.757341219,0.149672713,0.747027600,0.739258947,-0.508036877,0.346055565,0.275027793,0.337848570,0.011498562,0.011498562,0.569240907,0.000000000,0.000000000
3.200000000,0.060082193,0.785293833,0.143070118,0.767899887,0.735279172,-0.505296726,0.352810497,0.282071819,0.348851512,0.010044434,0.010044434,0.530349711,0.000000000,0.000000000
3.300000000,0.052787340,0.812523012,0.135794601,0.787241506,0.732054824,-0.500997198,0.359869167,0.289122334,0.356778308,0.006844871,0.006844871,0.493249826,0.000000000,0.000000000
3.400000000,0.046315308,0.839064926,0.127908899,0.805088180,0.729478988,-0.495228165,0.367244902,0.296210486,0.362271533,0.002292840,0.002292840,0.458288758,0.000000000,0.000000000
3.500000000,0.040586372,0.864954388,0.119471850,0.821475049,0.727437124,-0.488077522,0.374944474,0.303368102,0.369157914,0.000000000,0.000000000,0.428906787,0.003297461,0.003297461
3.600000000,0.035525598,0.890224230,0.110538425,0.836435904,0.725812934,-0.479627424,0.382968460,0.310625622,0.377648337,0.000000000,0.000000000,0.404898967,0.009682536,0.009682536
3.700000000,0.031063320,0.914904911,0.101159857,0.850002707,0.724491438,-0.469952744,0.391312412,0.318011274,0.385590781,0.000000000,0.000000000,0.383702992,0.016678923,0.016678923
3.800000000,0.027135337,0.939024309,0.091383817,0.862205338,0.723360461,-0.459120843,0.399967983,0.325550775,0.393092773,0.000000000,0.000000000,0.365040009,0.024151828,0.024151828
3.900000000,0.023682927,0.962607642,0.081254639,0.873071498,0.722312261,-0.447191658,0.408923031,0.333266520,0.400230655,0.000000000,0.000000000,0.348635118,0.032004128,0.032004128
4.000000000,0.020652705,0.985677478,0.070813547,0.882626727,0.721244571,-0.434218408,0.418161456,0.341176845,0.407051959,0.000000000,0.000000000,0.334224526,0.040166319,0.040166319
4.100000000,0.017996396,1.008253817,0.060098909,0.890894512,0.720061212,-0.420248788,0.427662900,0.349295363,0.413577941,0.000000000,0.000000000,0.321558873,0.048587723,0.048587723
4.200000000,0.015670548,1.030354212,0.049146474,0.897896434,0.718672481,-0.405326520,0.437402349,0.357630345,0.419806198,0.000000000,0.000000000,0.310404341,0.057229041,0.057229041
4.300000000,0.013636200,1.051993922,0.037989606,0.903652361,0.716995431,-0.389493165,0.447349726,0.366184173,0.425713391,0.000000000,0.000000000,0.300542620,0.066056228,0.066056228
4.400000000,0.011858541,1.073186081,0.026659511,0.908180659,0.714954190,-0.372790093,0.457469562,0.374952866,0.431258122,0.000000000,0.000000000,0.291770422,0.075035622,0.075035622
4.500000000,0.010306563,1.093941867,0.015185446,0.911498402,0.712480365,-0.355260512,0.467720788,0.383925726,0.436384043,0.000000000,0.000000000,0.283898949,0.084130236,0.084130236
4.600000000,0.008952722,1.114270684,0.003594906,0.913621594,0.709513598,-0.336951444,0.478056750,0.393085134,0.441023282,0.000000000,0.000000000,0.276753557,0.093297146,0.093297146
4.700000000,0.007772607,1.134180328,-0.008086193,0.914565374,0.706002270,-0.317915558,0.488425487,0.402406556,0.445100216,0.000000000,0.000000000,0.270173729,0.102485904,0.102485904
4.800000000,0.006744633,1.153677153,-0.019833357,0.914344220,0.701904328,-0.298212700,0.498770326,0.411858788,0.448535596,0.000000000,0.000000000,0.264013362,0.111637923,0.111637923
4.900000000,0.005849754,1.172766224,-0.031623368,0.912972134,0.697188170,-0.277911031,0.509030817,0.421404487,0.451250961,0.000000000,0.000000000,0.258141340,0.120686788,0.120686788
5.000000000,0.005071186,1.191451465,-0.043434157,0.910462818,0.691833496,-0.257087652,0.519144001,0.431000998,0.453173193,0.000000000,0.000000000,0.252442282,0.129559405,0.129559405
5.100000000,0.004394173,1.209735788,-0.055244689,0.906829829,0.685832024,-0.235828615,0.529045976,0.440601468,0.454238997,0.000000000,0.000000000,0.246817334,0.138177889,0.138177889
5.200000000,0.003805751,1.227621218,-0.067034861,0.902086731,0.679187947,-0.214228292,0.538673686,0.450156230,0.454399047,0.000000000,0.000000000,0.241184853,0.146462039,0.146462039
5.300000000,0.003294553,1.245109005,-0.078785416,0.896247216,0.671918026,-0.192388092,0.547966813,0.459614360,0.453621495,0.000000000,0.000000000,0.235480818,0.154332204,0.154332204
5.400000000,0.002850621,1.262199723,-0.090477861,0.889325226,0.664051239,-0.170414585,0.556869669,0.468925359,0.451894563,0.000000000,0.000000000,0.229658841,0.161712306,0.161712306
5.500000000,0.002465242,1.278893365,-0.102094406,0.881335053,0.655627952,-0.148417153,0.565332926,0.478040814,0.449227988,0.000000000,0.000000000,0.223689667,0.168532781,0.168532781
5.600000000,0.002130801,1.295189420,-0.113617899,0.872291428,0.646698605,-0.126505324,0.573315069,0.486915956,0.445653207,0.000000000,0.000000000,0.217560128,0.174733188,0.174733188
5.700000000,0.001840648,1.311086949,-0.125031785,0.862209599,0.637321976,-0.104785985,0.580783471,0.495511006,0.441222242,0.000000000,0.000000000,0.211271572,0.180264286,0.180264286
5.800000000,0.001588982,1.326584651,-0.136320057,0.851105399,0.627563123,-0.083360666,0.587715008,0.503792214,0.436005435,0.000000000,0.000000000,0.204837838,0.185089440,0.185089440
5.900000000,0.001370748,1.341680922,-0.147467225,0.838995303,0.617491136,-0.062323088,0.594096211,0.511732569,0.430088228,0.000000000,0.000000000,0.198282915,0.189185282,0.189185282
6.000000000,0.001181542,1.356373904,-0.158458285,0.825896474,0.607176832,-0.041757113,0.599922956,0.519312127,0.423567310,0.000000000,0.000000000,0.191638427,0.192541632,0.192541632
6.100000000,0.001017533,1.370661533,-0.169278693,0.811826799,0.596690545,-0.021735213,0.605199772,0.526518006,0.416546460,0.000000000,0.000000000,0.184941120,0.195160772,0.195160772
6.200000000,0.000875388,1.384541581,-0.179914350,0.796804929,0.586100128,-0.002317489,0.609938833,0.533344063,0.409132418,0.000000000,0.000000000,0.178230499,0.197056180,0.197056180
6.300000000,0.000752213,1.398011687,-0.190351584,0.780850294,0.575469265,0.016448742,0.614158749,0.539790326,0.401431074,0.000000000,0.000000000,0.171546720,0.198250907,0.198250907
6.400000000,0.000645495,1.411069398,-0.200577135,0.763983126,0.564856132,0.034528850,0.617883248,0.545862254,0.393544173,0.000000000,0.000000000,0.164928843,0.198775745,0.198775745
6.500000000,0.000553055,1.423712186,-0.210578153,0.746224468,0.554312458,0.051900353,0.621139849,0.551569886,0.385566694,0.000000000,0.000000000,0.158413464,0.198667341,0.198667341
6.600000000,0.000473003,1.435937483,-0.220342183,0.727596183,0.543882955,0.068552027,0.623958592,0.556926949,0.377584941,0.000000000,0.000000000,0.152033741,0.197966398,0.197966398
6.700000000,0.000403705,1.447742696,-0.229857169,0.708120955,0.533605082,0.084482777,0.626370893,0.561949981,0.369675333,0.000000000,0.000000000,0.145818789,0.196716030,0.196716030
6.800000000,0.000343752,1.459125229,-0.239111446,0.687822286,0.523509118,0.099700349,0.628408552,0.566657512,0.361903840,0.000000000,0.000000000,0.139793386,0.194960362,0.194960362
6.900000000,0.000291927,1.470082500,-0.248093744,0.666724490,0.513618457,0.114219976,0.630102936,0.571069320,0.354325959,0.000000000,0.000000000,0.133977954,0.192743376,0.192743376
7.000000000,0.000247188,1.480611956,-0.256793185,0.644852683,0.503950082,0.128063037,0.631484334,0.575205798,0.346987113,0.000000000,0.000000000,0.128388721,0.190108025,0.190108025
7.100000000,0.000208646,1.490711085,-0.265199286,0.622232768,0.494515155,0.141255764,0.632581484,0.579087417,0.339923368,0.000000000,0.000000000,0.123038040,0.187095582,0.187095582
7.200000000,0.000175550,1.500377428,-0.273301964,0.598891423,0.485319678,0.153828061,0.633421244,0.582734300,0.333162355,0.000000000,0.000000000,0.117934788,0.183745216,0.183745216
7.300000000,0.000147276,1.509608592,-0.281091538,0.574856078,0.476365172,0.165812436,0.634028391,0.586165897,0.326724302,0.000000000,0.000000000,0.113084817,0.180093744,0.180093744
7.400000000,0.000123321,1.518402254,-0.288558731,0.550154896,0.467649349,0.177243074,0.634425530,0.589400734,0.320623107,0.000000000,0.000000000,0.108491406,0.176175526,0.176175526
7.500000000,0.000103296,1.526756170,-0.295694681,0.524816748,0.459166760,0.188155051,0.634633081,0.592456257,0.314867386,0.000000000,0.000000000,0.104155713,0.172022485,0.172022485
7.600000000,0.000086920,1.534668187,-0.302490939,0.498871190,0.450909376,0.198583683,0.634669329,0.595348720,0.309461463,0.000000000,0.000000000,0.100077189,0.167664190,0.167664190
7.700000000,0.000074003,1.542136241,-0.308939478,0.472348432,0.442867126,0.208563997,0.634550524,0.598093137,0.304406270,0.000000000,0.000000000,0.096253954,0.163128014,0.163128014
7.800000000,0.000064404,1.549158369,-0.315032697,0.445279314,0.435028357,0.218130321,0.634290999,0.600703271,0.299700149,0.000000000,0.000000000,0.092683124,0.158439308,0.158439308
7.900000000,0.000057948,1.555732710,-0.320763430,0.417695270,0.427380237,0.227315979,0.633903317,0.603191648,0.295339541,0.000000000,0.000000000,0.089361101,0.153621608,0.153621608
8.000000000,0.000054322,1.561857508,-0.326124944,0.389628301,0.419909086,0.236153063,0.633398418,0.605569595,0.291319572,0.000000000,0.000000000,0.086283807,0.148696835,0.148696835
